CODE,DECIMALS,ABBREV,FULL_NAME,UNITS,NARR
882,3,BE-EXT,BERYLLIUM-EXT-DIRECT,UG/L,"METALS, EXTRACTABLE, INDUCTIVELY COUPLED PLASMA - MASS SPECTROMETRY - (ICP-MS): A WATER SAMPLE IS COLLECTED UNFILTERED AND PRESERVED IN 0.2 PERCENT NITRIC ACID. A DECANTED PORTION OF THE SAMPLE IS INTRODUCED DIRECTLY INTO A RADIOFREQUENCY ARGON PLASMA BY PNEUMATIC NEBULIZATION. THE IONS PRODUCED ARE TRANSPORTED TO THE MASS SPECTROMETER QUADRUPOLE THROUGH A DIFFERENTIALLY PUMPED VACUUM INTERFACE AND ION OPTICS; SEPARATED ON THE BASIS OF THEIR MASS-TO-CHARGE (m/z) RATIO; AND DETECTED BY ELECTRON CHANNEL MULTIPLIER (ECM). THE BERYLLIUM IS MEASURED AT ISOTOPE MASS 9 AMU (ATOMIC MASS UNITS) AND COMPARED WITH STANDARD SOLUTIONS. REFERENCE:NATIONAL LABORATORY OF ENVIRONMENTAL TESTING,NWRI.           METHOD 02-2060, BURLINGTON,ONT.,1996."
883,3,BI-DISS,BISMUTH-DISS-DIRECT,UG/L,"METALS, DISSOLVED, INDUCTIVELY COUPLED PLASMA - MASS SPECTROMETRY - (ICP-MS): A WATER SAMPLE IS FILTERED THROUGH A 0.45 MICROMETER MEMBRANE FILTER AND PRESERVED IN 0.2 PERCENT NITRIC ACID. THE FILTERED SAMPLE IS INTRODUCED DIRECTLY INTO A RADIOFREQUENCY ARGON PLASMA BY PNEUMATIC NEBULIZATION. THE IONS PRODUCED ARE TRANSPORTED TO THE MASS SPECTROMETER QUADRUPOLE THROUGH A DIFFERENTIALLY PUMPED VACUUM INTERFACE AND ION OPTICS; SEPARATED ON THE BASIS OF THEIR MAS-TO- CHARGE (m/z) RATIO; AND DETECTED BY AN ELECTRON CHANNEL MULTIPLIER (ECM). THE BISMUTH IS MEASURED AT ISOTOPE MASS 209 AMU (ATOMIC MASS UNITS) AND COMPARED WITH STANDARD SOLUTIONS. REFERENCE:NATIONAL LABORATORY OF ENVIRONMENTAL TESTING,NWRI,           METHOD 02-2060, BURLINGTON,ONT.,1996."
884,3,BI-EXT,BISMUTH-EXT-DIRECT,UG/L,"METALS, EXTRACTABLE, INDUCTIVELY COUPLED PLASMA - MASS SPECTROMETRY - (ICP-MS): A WATER SAMPLE IS COLLECTED UNFILTERED AND PRESERVED IN 0.2 PERCENT NITRIC ACID. A DECANTED PORTION OF THE SAMPLE IS INTRODUCED DIRECTLY INTO A RADIOFREQUENCY ARGON PLASMA BY PNEUMATIC NEBULIZATION. THE IONS PRODUCED ARE TRANSPORTED TO THE MASS SPECTROMETER QUADRUPOLE THROUGH A DIFFERENTIALLY PUMPED VACUUM INTERFACE AND ION OPTICS; SEPARATED ON THE BASIS OF THEIR MASS-TO-CHARGE (m/z) RATIO; AND DETECTED BY AN ELECTRON CHANNEL MULTIPLIER (ECM). THE BISMUTH IS MEASURED AT ISOTOPE MASS 209 AMU (ATOMIC MASS UNITS) AND COMPARED WITH STANDARD SOLUTIONS. REFERENCE:NATIONAL LABORATORY OF ENVIRONMENTAL TESTING,NWRI.           METHOD 02-2060, BURLINGTON,ONT.,1996."
885,3,B-DISS,BORON-DISS-DIRECT,UG/L,"METALS, DISSOLVED, INDUCTIVELY COUPLED PLASMA - MASS SPECTROMETRY - (ICP-MS): A WATER SAMPLE IS FILTERED THROUGH A 0.45 MICROMETER MEMBRANE FILTER AND PRESERVED IN 0.2 PERCENT NITRIC ACID. THE FILTERED SAMPLE IS INTRODUCED DIRECTLY INTO A RADIOFREQUENCY ARGON PLASMA BY PNEUMATIC NEBULIZATION. THE IONS PRODUCED ARE TRANSPORTED TO THE MASS SPECTROMETER QUADRUPOLE THROUGH A DIFFERENTIALLY PUMPED VACUUM INTERFACE AND ION OPTICS; SEPARATED ON THE BASIS OF THEIR MASS-TO- CHARGE (m/z) RATIO; AND DETECTED BY AN ELECTRON CHANNEL MULTIPLIER (ECM). THE BORON IS MEASURED AT ISOTOPE MASS 10 AMU (ATOMIC MASS UNITS) AND COMPARED WITH STANDARD SOLUTIONS. REFERENCE:NATIONAL LABORATORY OF ENVIRONMENTAL TESTING,NWRI,           METHOD 02-2060, BURLINGTON,ONT.,1996."
886,3,B-EXT,BORON-EXT-DIRECT,UG/L,"METALS, EXTRACTABLE, INDUCTIVELY COUPLED PLASMA- MASS SPECTROMETRY - (ICP-MS): A WATER SAMPLE IS COLLECTED UNFILTERED AND PRESERVED IN 0.2 PERCENT NITRIC ACID. A DECANTED PORTION OF THE SAMPLE IS INTRODUCED DIRECTLY INTO A RADIOFREQUENCY ARGON PLASMA SPECTROMETER QUADRUPOLE THROUGH A DIFFERENTIALLY PUMPED VACUUM INTERFACE AND ION OPTICS; SEPARATED ON THE BASIS OF THEIR MASS-TO-CHARGE (m/z) RATIO; AND DETECTED BY AN ELECTRON CHANNEL MULTIPLIER (ECM). THE BORON IS MEASURED AT ISOTOPE MASS 10 AMU (ATOMIC MASS UNITS) AND COMPARED WITH STANDARD SOLUTIONS. REFERENCE:NATIONAL LABORATORY OF ENVIRONMENTAL TESTING,NWRI           METHOD 02-2060, BURLINGTON,ONT.,1996."
887,3,CD-DISS,CADMIUM-DISS-DIRECT,UG/L,"METALS, DISSOLVED, INDUCTIVELY COUPLED PLASMA - MASS SPECTROMETRY - (ICP-MS): A WATER SAMPLE IS FILTERED THROUGH A 0.45 MICROMETER MEMBRANE FILTER AND PRESERVED IN 0.2 PERCENT NITRIC ACID. THE FILTERED SAMPLE IS INTRODUCED DIRECTLY INTO A RADIOFREQUENCY ARGON PLASMA BY PNEUMATIC NEBULIZATION. THE IONS PRODUCED ARE TRANSPORTED TO THE MASS SPECTROMETER QUADRUPOLE THROUGH A DIFFERENTIALLY PUMPED VACUUM INTERFACE AND ION OPTICS; SEPARATED ON THE BASIS OF THEIR MASS-TO- CHARGE (m/z) RATIO; AND DETECTED BY AN ELECTRON CHANNEL MULTIPLIER (ECM). THE CADMIUM IS MEASURED AT ISOTOPE MASS 114 AMU (ATOMIC MASS UNITS) AND COMPARED WITH STANDARD SOLUTIONS. REFERENCE:NATIONAL LABORATORY OF ENVIRONMENTAL TESTING,NWRI,           METHOD 02-2060, BURLINGTON,ONT.,1996."
888,3,CD-EXT,CADMIUM-EXT-DIRECT,UG/L,"METALS, EXTRACTABLE, INDUCTIVELY COUPLED PLASMA - MASS SPECTROMETRY - (ICP-MS): A WATER SAMPLE IS COLLECTED UNFILTERED AND PRESERVED IN 0.2 PERCENT NITRIC ACID. A DECANTED PORTION OF THE SAMPLE IS INTRODUCED DIRECTLY INTO A RADIOFREQUENCY ARGON PLASMA BY PNEUMATIC NEBULIZATION. THE IONS PRODUCED ARE TRANSPORTED TO THE MASS SPECTROMETER QUADRUPOLE THROUGH A DIFFERENTIALLY PUMPED VACUUM INTERFACE AND ION OPTICS; SEPARATED ON THE BASIS OF THEIR MASS-TO-CHARGE (m/z) RATIO; AND DETECTED BY AN ELECTRON CHANNEL MULTIPLIER (ECM). THE CADMIUM IS MEASURED AT ISOTOPE MASS 114 AMU (ATOMIC MASS UNITS) AND COMPARED WITH STANDARD SOLUTIONS. REFERENCE:NATIONAL LABORATORY OF ENVIRONMENTAL TESTING,NWRI           METHOD 02-2060, BURLINGTON,ONT.,1996."
889,3,CS-DISS,CESIUM-DISS-DIRECT,UG/L,"METALS, DISSOLVED, INDUCTIVELY COUPLED PLASMA - MASS SPECTROMETRY - (ICP-MS): A WATER SAMPLE IS FILTERED THROUGH A 0.45 MICROMETER MEMBRANE FILTER AND PRESERVED IN 0.2 PERCENT NITRIC ACID. THE FILTERED SAMPLE IS INTRODUCED DIRECTLY INTO A RADIOFREQUENCY ARGON PLASMA BY PNEUMATIC NEBULIZATION. THE IONS PRODUCED ARE TRANSPORTED TO THE MASS SPECTROMETER QUADRUPOLE THROUGH A DIFFERENTIALLY PUMPED VACUUM INTERFACE AND ION OPTICS; SEPARATED ON THE BASIS OF THEIR MASS-TO- CHARGE (m/z) RATIO; AND DETECTED BY AN ELECTRON CHANNEL MULTIPLIER (ECM). THE CESIUM IS MEASURED AT ISOTOPE MASS 133 AMU (ATOMIC MASS UNITS) AND COMPARED WITH STANDARD SOLUTIONS. REFERENCE:NATIONAL LABORATORY OF ENVIRONMENTAL TESTING,NWRI,           METHOD 02-2060, BURLINGTON,ONT.,1996."
890,3,CD-EXT,CESIUM-EXT-DIRECT,UG/L,"METALS, EXTRACTABLE, INDUCTIVELY COUPLED PLASMA - MASS SPECTROMETRY - (ICP-MS): A WATER SAMPLE IS COLLECTED UNFILTERED AND PRESERVED IN 0.2 PERCENT NITRIC ACID. A DECANTED PORTION OF THE SAMPLE IS INTRODUCED DIRECTLY INTO A RADIOFREQUENCY ARGON PLASMA BY PNEUMATIC NEBULIZATION. THE IONS PRODUCED ARE TRANSPORTED TO THE MASS SPECTROMETER QUADRUPOLE THROUGH A DIFFERENTIALLY PUMPED VACUUM INTERFACE AND ION OPTICS; SEPARATED ON THE BASIS OF THEIR MASS-TO-CHARGE (m/z) RATIO; AND DETECTED BY AN ELECTRON CHANNEL MULTIPLIER (ECM). THE CESIUM IS MEASURED AT ISOTOPE MASS 133 AMU (ATOMIC MASS UNITS) AND COMPARED WITH STANDARD SOLUTIONS. REFERENCE:NATIONAL LABORATORY OF ENVIRONMENTAL TESTING,NWRI.           METHOD 02-2060, BURLINGTON,ONT.,1996."
891,3,CR-DISS,CHROMIUM-DISS-DIRECT,UG/L,"METALS, DISSOLVED, INDUCTIVELY COUPLED PLASMA - MASS SPECTROMETRY - (ICP-MS): A WATER SAMPLE IS FILTERED THROUGH A 0.45 MICROMETER MEMBRANE FILTER AND PRESERVED IN 0.2 PERCENT NITRIC ACID. THE FILTERED SAMPLE IS INTRODUCED DIRECTLY INTO A RADIOFREQUENCY ARGON PLASMA BY PNEUMATIC NEBULIZATION. THE IONS PRODUCED ARE TRANSPORTED TO THE MASS SPECTROMETER QUADRUPOLE THROUGH A DIFFERENTIALLY PUMPED VACUUM INTERFACE AND ION OPTICS; SEPARATED ON THE BASIS OF THEIR MASS-TO- CHARGE (m/z) RATIO; AND DETECTED BY AN ELECTRON CHANNEL MULTIPLIER (ECM). THE CHROMIUM IS MEASURED AT ISOTOPE MASS 52 AMU (ATOMIC MASS UNITS) AND COMPARED WITH STANDARD SOLUTIONS. REFERENCE:NATIONAL LABORATORY OF ENVIRONMENTAL TESTING,NWRI,           METHOD 02-2060, BURLINGTON,ONT.,1996."
892,3,CR-EXT,CHROMIUM-EXT-DIRECT,UG/L,"METALS, EXTRACTABLE, INDUCTIVELY COUPLED PLASMA - MASS SPECTROMETRY - (ICP-MS): A WATER SAMPLE IS COLLECTED UNFILTERED AND PRESERVED IN 0.2 PERCENT NITRIC ACID. A DECANTED PORTION OF THE SAMPLE IS INTRODUCED DIRECTLY INTO A RADIOFREQUENCY ARGON PLASMA BY PNEUMATIC NEBULIZATION. THE IONS PRODUCED ARE TRANSPORTED TO THE MASS SPECTROMETER QUADRUPOLE THROUGH A DIFFERENTIALLY PUMPED VACUUM INTERFACE AND ION OPTICS; SEPARATED ON THE BASIS OF THEIR MASS-TO-CHARGE (m/z) RATIO; AND DETECTED BY AN ELECTRON CHANNEL MULTIPLIER (ECM). THE CHROMIUM IS MEASURED AT ISOTOPE MASS 52 AMU (ATOMIC MASS UNITS) AND COMPARED WITH STANDARD SOLUTIONS. REFERENCE:NATIONAL LABORATORY OF ENVIRONMENTAL TESTING,NWRI.           METHOD 02-2060, BURLINGTON,ONT.,1996."
893,3,CO-DISS,COBALT-DISS-DIRECT,UG/L,"METALS, DISSOLVED, INDUCTIVELY COUPLED PLASMA - MASS SPECTROMETRY - (ICP-MS): A WATER SAMPLE IS FILTERED THROUGH A 0.45 MICROMETER MEMBRANE FILTER AND PRESERVED IN 0.2 PERCENT NITRIC ACID. THE FILTERED SAMPLE IS INTRODUCED DIRECTLY INTO A RADIOFREQUENCY ARGON PLASMA BY PNEUMATIC NEBULIZATION. THE IONS PRODUCED ARE TRANSPORTED TO THE MASS SPECTROMETER QUADRUPOLE THROUGH A DIFFERENTIALLY PUMPED VACUUM INTERFACE AND ION OPTICS; SEPARATED ON THE BASIS OF THEIR MASS-TO- CHARGE (m/z) RATIO; AND DETECTED BY AN ELECTRON CHANNEL MULTIPLIER (ECM). THE COBALT IS MEASURED AT ISOTOPE MASS 59 AMU (ATOMIC MASS UNITS) AND COMPARED WITH STANDARD SOLUTIONS. REFERENCE:NATIONAL LABORATORY OF ENVIRONMENTAL TESTING,NWRI,           METHOD 02-2060, BURLINGTON,ONT.,1996."
894,3,CO-EXT,COBALT-EXT-DIRECT,UG/L,"METALS, EXTRACTABLE, INDUCTIVELY COUPLED PLASMA - MASS SPECTROMETRY - (ICP-MS): A WATER SAMPLE IS COLLECTED UNFILTERED AND PRESERVED IN 0.2 PERCENT NITRIC ACID. A DECANTED PORTION OF THE SAMPLE IS INTRODUCED DIRECTLY INTO A RADIOFREQUENCY ARGON PLASMA BY PNEUMATIC NEBULIZATION. THE IONS PRODUCED ARE TRANSPORTED TO THE MASS SPECTROMETER QUADRUPOLE THROUGH A DIFFERENTIALLY PUMPED VACUUM INTERFACE AND ION OPTICS; SEPARATED ON THE BASIS OF THEIR MASS-TO-CHARGE (m/z) RATIO; AND DETECTED BY AN ELECTRON CHANNEL MULTIPLIER (ECM). THE COBALT IS MEASURED AT ISOTOPE MASS 59 AMU (ATOMIC MASS UNITS) AND COMPARED WITH STANDARD SOLUTIONS. REFERENCE:NATIONAL LABORATORY OF ENVIRONMENTAL TESTING,NWRI.           METHOD 02-2060, BURLINGTON,ONT.,1996."
895,3,CU-DISS,COPPER-DISS-DIRECT,UG/L,"METALS, DISSOLVED, INDUCTIVELY COUPLED PLASMA - MASS SPECTROMETRY - (ICP-MS): A WATER SAMPLE IS FILTERED THROUGH A 0.45 MICROMETER MEMBRANE FILTER AND PRESERVED ON 0.2 PERCENT NITRIC ACID. THE FILTERED SAMPLE IS INTRODUCED DIRECTLY INTO A RADIOFREQUENCY ARGON PLASMA BY PNEUMATIC NEBULIZATION. THE IONS PRODUCED ARE TRANSPORTED TO THE MASS SPECTROMETER QUADRUPOLE THROUGH A DIFFERENTIALLY PUMPED VACUUM INTERFACE AND ION OPTICS; SEPARATED ON THE BASIS OF THEIR MASS-TO- CHARGE (m/z) RATIO; AND DETECTED BY AN ELECTRON CHANNEL MULTIPLIER (ECM). THE COPPER IS MEASURED AT ISOTOPE MASS 65 AMU (ATOMIC MASS UNITS) AND COMPARED WITH STANDARD SOLUTONS. REFERENCE:NATIONAL LABORATORY OF ENVIRONMENTAL TESTING,NWRI,           METHOD 02-2060, BURLINGTON,ONT.,1996."
896,3,CU-EXT,COPPER-EXT-DIRECT,UG/L,"METALS, EXTRACTABLE, INDUCTIVELY COUPLED PLASMA - MASS SPECTROMETRY - (ICP-MS): A WATER SAMPLE IS COLLECTED UNFILTERED AND PRESERVED IN 0.2 PERCENT NITRIC ACID. A DECANTED PORTION OF THE SAMPLE IS INTRODUCED DIRECTLY INTO A RADIOFREQUENCY ARGON PLASMA BY PNEUMATIC NEBULIZATION. THE IONS PRODUCED ARE TRANSPORTED TO THE MASS SPECTROMETER QUADRUPOLE THROUGH A DIFFERENTIALLY PUMPED VACUUM INTERFACE AND ION OPTICS; SEPARATED ON THE BASIS OF THEIR MASS-TO-CHARGE (m/z) RATIO; AND DETECTED BY AN ELECTRON CHANNEL MULTIPLIER (ECM). THE COPPER IS MEASURED AT ISOTOPE MASS 65 AMU (ATOMIC MASS UNITS) AND COMPARED WITH STANDARD SOLUTIONS. REFERENCE:NATIONAL LABORATORY OF ENVIRONMENTAL TESTING,NWRI.           METHOD 02-2060, BURLINGTON,ONT.,1996."
897,3,GA-DISS,GALLIUM-DISS-DIRECT,UG/L,"METALS, DISSOLVED, INDUCTIVELY COUPLED PLASMA - MASS SPECTROMETRY - (ICP-MS): A WATER SAMPLE IS FILTERED THROUGH A 0.45 MICROMETER MEMBRANE FILTER AND PRESERVED IN 0.2 PERCENT NITRIC ACID. THE FILTERED SAMPLE IS INTRODUCED DIRECTLY INTO A RADIOFREQUENCY ARGON PLASMA BY PNEUMATIC NEBULIZATION. THE IONS PRODUCED ARE TRANSPORTED TO THE MASS SPECTROMETER QUADRUPOLE THROUGH A DIFFERENTIALLY PUMPED VACUUM INTERFACE AND ION OPTICS; SEPARATED ON THE BASIS OF THEIR MASS-TO- CHARGE (m/z) RATIO; AND DETECTED BY AN ELECTRON CHANNEL MULTIPLIER (ECM). THE GALLIUM IS MEASURED AT ISOTOPE MASS 71 AMU (ATOMIC MASS UNITS) AND COMPARED WITH STANDARD SOLUTIONS. REFERENCE:NATIONAL LABORATORY OF ENVIRONMENTAL TESTING,NWRI,           METHOD 02-2060, BURLINGTON,ONT.,1996."
898,3,GA-EXT,GALLIUM-EXT-DIRECT,UG/L,"METALS, EXTRACTABLE, INDUCTIVELY COUPLED PLASMA - MASS SPECTROMETRY - (ICP-MS): A WATER SAMPLE IS COLLECTED UNFILTERED AND PRESERVED IN 0.2 PERCENT NITRIC ACID. A DECANTED PORTION OF THE SAMPLE IS INTRODUCED DIRECTLY INTO A RADIOFREQUENCY ARGON PLASMA BY PNEUMATIC NEBULIZATION. THE IONS PRODUCED ARE TRANSPORTED TO THE MASS SPECTROMETER QUADRUPOLE THROUGH A DIFFERENTIALLY PUMPED VACUUM INTERFACE AND ION OPTICS; SEPARATED ON THE BASIS OF THEIR MASS-TO-CHARGE (m/z) RATIO; AND DETECTED BY AN ELECTRON CHANNEL MULTIPLIER (ECM). THE GALLIUM IS MEASURED AT ISOTOPE MASS 71 AMU (ATOMIC MASS UNITS) AND COMPARED WITH STANDARD SOLUTIONS. REFERENCE:NATIONAL LABORATORY OF ENVIRONMENTAL TESTING,NWRI.           METHOD 02-2060, BURLINGTON,ONT.,1996."
899,3,LA-DISS,LANTHANUM-DISS-DIRECT,UG/L,"METALS, DISSOLVED, INDUCTIVELY COUPLED PLASMA - MASS SPECTROMETRY - (ICP-MS): A WATER SAMPLE IS FILTERED THROUGH A 0.45 MICROMETER MEMBRANE FILTER AND PRESERVED IN 0.2 PERCENT NITRIC ACID. THE FILTERED SAMPLE IS INTRODUCED DIRECTLY INTO A RADIOFREQUENCY ARGON PLASMA BY PNEUMATIC NEBULIZATION. THE IONS PRODUCED ARE TRANSPORTED TO THE MASS SPECTROMETER QUADRUPOLE THROUGH A DIFFERENTIALLY PUMPED VACUUM INTERFACE AND ION OPTICS; SEPARATED ON THE BASIS OF THEIR MASS-TO- CHARGE (m/z) RATIO; AND DETECTED BY AN ELECTRON CHANNEL MULTIPLIER (ECM). THE LANTHANUM IS MEASURED AT ISOTOPE MASS 139 AMU (ATOMIC MASS UNITS) AND COMPARED WITH STANDARD SOLUTIONS. REFERENCE:NATIONAL LABORATORY OF ENVIRONMENTAL TESTING,NWRI,           METHOD 02-2060, BURLINGTON,ONT.,1996."
900,1,ALK TIT,"ALKALINITY,TITRATION,TOTAL",PPM,"TOTAL ALKALINITY AS DETERMINED BY TITRATION OF 100 ML ALIQUOT TO PH 4.5 WITH 0.02N H2SO4. REF: ENVIRONMENTAL PROTECTION AGENCY. 1974 (METHODS FOR CHEMICAL ANALYSIS OF WATER AND WASTES). USEPA. CINCINNATI, OHIO."
901,4,SR P,"PHOSPHATE,SOLUBLE REACTIVE",PPM,"ASCORBIC ACID REDUCTION TO PHOSPHOMOLYBDENUM BLUE COMPEX. DETERMINED PHOTOMETRICALLY. REF: ENVIRONMENTAL PROTECTION AGENCY. 1974.(METHODS FOR CHEMICAL ANALYSIS OF WATER AND WASTES) USEPA. CINCINNATI, OHIO."
902,3,T NH3,"AMMONIA,TOTAL",PPM,"AUTOMATED ALKALINE PHENOL METHOD. ENVIRONMENTAL PROTECTION AGENCY. 1974. (METHODS FOR CHEMICAL ANALYSIS OF WATER AND WASTES. USEPA. CINCINNATI,OHIO."
903,3,T NO3+2,"NITRATE+NITRITE,TOTAL",PPM,"COLORIMETRIC,CADMIUM REDUCTION. REF: ENVIRONMENTAL PROTECTION AGENCY 1974. (METHODS FOR CHEMICAL ANALYSIS OF WATER AND WASTES). USEPA CINCINNATI,OHIO."
904,3,R SIO2,"SILICA,SOLUBLE REACTIVE",PPM,"SAMPLE FILTERED. ASCORBIC ACID TO MOLYBDENUM BLUE METHOD. REF: ENVIRONMENTAL PROTECTION AGENCY. 1974. (METHODS FOR CHEMICAL ANALYSIS OF WATER AND WASTES). USEPA. CINCINNATI,OHIO."
905,2,SIO2,SILICA,MG/L,"AN UNFILTERED SAMPLE ALIQUOT AND MIXTURE OF AMMONIUM MOLYBDATE AND DILUTE SULPHRIC ARE PIPETTED BY THE ROBITS PIPETTOR INTO A PLASTIC CUVETTE ROTOR. THE ROTOR ACCELERATES AND MIXES THE SAMPLE AND THE REAGENTS BY CENTRIFUGAL FORCES. OXALIC AND ASCORBIC ACID REAGENTS ARE SUCCESSUVELY ADDED TO THE PREVIOUS MIXTURE, FIRST TO DESTROY ANY COMPLEX FORMED BY THE PHOSPHATE ION PRESENT IN THE SAMPLE, AND SECONDLY TO REDUCE MOLYBDOSILICIC ACID COMPLEX THUS FORMED. TO MOLYBDENUM BLUE COMPLEX. THE ABSORBANCE OF MOLYBDENUM BLUE COMPLEX IS MEASURED PHOTOMETRICAALY AT 660 NM. THE SILICA CONCENTRATION IS DETERMINED BY COMPARISON OF THE ABSORBANCE OUTPUT WITH THE CALIBRATION CURVE DRAWN FROM THE ABSORBANCE OUTPUTS OF SIMILARLY TREATED CALIBRATION STANDARD SOLUTIONS"
906,1,CA NF,"CALCIUM,NON-FILTERED",PPM,"ATOMIC ABSORPTION. ENVIRONMENTAL PROTECTION AGENCY.1974. (METHODS FOR ANALYSIS OF WATER AND WASTES). USEPA. CINCINNATI,OHIO."
907,1,MG NF,"MAGNESIUM,NON-FILTERED",PPM,SAME AS CODE 906.
908,1,NA NF,"SODIUM,NON-FILTERED",PPM,SAME AS CODE 906.
909,1,K NF,"POTASSIUM,NON-FILTERED",PPM,SAME AS CODE 906.
910,3,LA-EXT,LANTHANUM-EXT-DIRECT,UG/L,"METALS, EXTRACTABLE, INDUCTIVELY COUPLED PLASMA - MASS SPECTROMETRY - (ICP-MS): A WATER SAMPLE IS COLLECTED UNFILTERED AND PRESERVED IN 0.2 PERCENT NITRIC ACID. A DECANTED PORTION OF THE SAMPLE IS INTRODUCED DIRECTLY INTO A RADIOFREQUENCY ARGON PLASMA BY PNEUMATIC NEBULIZATION. THE IONS PRODUCED ARE TRANSPORTED TO THE MASS SPECTROMETER QUADRUPOLE THROUGH A DIFFERENTIALLY PUMPED VACUUM INTERFACE AND ION OPTICS; SEPARATED ON THE BASIS OF THEIR MASS-TO-CHARGE (m/z) RATIO; AND DETECTED BY AN ELECTRON CHANNEL MULTIPLIER (ECM). THE LANTHANUM IS MEASURED AT ISOTOPE MASS 139 AMU (ATOMIC MASS UNITS) AND COMPARED WITH STANDARD SOLUTIONS. REFERENCE:NATIONAL LABORATORY OF ENVIRONMENTAL TESTING,NWRI.           METHOD 02-2060, BURLINGTON,ONT.,1996."
911,1,SO4 NF,"SULPHATE,NON-FILTERED",PPM,"AUTOMATED METHYL-THYMOL BLUE METHOD. ENVIRONMENTAL PROTECTION AGENCY.1974. (METHODS FOR CHEMICAL ANALYSIS OF WATER AND WASTES). USEPA. CINCINNATI,OHIO."
912,1,CL NF,"CHLORIDE,NON-FILTERED",PPM,"AUTOMATED FERRIC THIOCYANATE METHOD. ENVIRONMENTAL PROTECTION AGENCY.1974. (METHODS FOR CHEMICAL ANALYSIS OF WATER AND WASTES). USEPA. CINCINNATI,OHIO."
913,3,PB-DISS,LEAD-DISS-DIRECT,UG/L,"METALS, DISSOLVED, INDUCTIVELY COUPLED PLASMA - MASS SPECTROMETRY - (ICP-MS): A WATER SAMPLE IS FILTERED THROUGH A 0.45 MICROMETER MEMBRANE FILTER AND PRESERVED IN 0.2 PERCENT NITRIC ACID. THE FILTERED SAMPLE IS INTRODUCED DIRECTLY INTO A RADIOFREQUENCY ARGON PLASMA BY PNEUMATIC NEBULIZATION. THE IONS PRODUCED ARE TRANSPORTED TO THE MASS SPECTROMETER QUADRUPOLE THROUGH A DIFFERENTIALLY PUMPED VACUUM INTERFACE AND ION OPTICS; SEPARATED ON THE BASIS OF THEIR MASS-TO- CHARGE (m/s) RATIO; AND DETECTED BY AN ELECTRON CHANNEL MULTIPLIER (ECM). THE LEAD IS MEASURED AT ISOTOPE MASS 208 AMU (ATOMIC MASS UNITS) AND COMPARED WITH STANDARD SOLUTIONS. REFERENCE:NATIONAL LABORATORY OF ENVIRONMENTAL TESTING,NWRI,           METHOD 02-2060, BURLINGTON,ONT.,1996."
914,3,PB-EXT,LEAD-EXT-DIRECT,UG/L,"METALS, EXTRACTABLE, INDUCTIVELY COUPLED PLASMA - MASS SPECTROMETRY - (ICP-MS): A WATER SAMPLE IS COLLECTED UNFILTERED AND PRESERVED IN 0.2 PERCENT NITRIC ACID. A DECANTED PORTION OF THE SAMPLE IS INTRODUCED DIRECTLY INTO A RADIOFREQUENCY ARGON PLASMA BY PNEUMATIC NEBULIZATION. THE IONS PRODUCED ARE TRANSPORTED TO THE MASS SPECTROMETER QUADRUPOLE THROUGH A DIFFERENTIALLY PUMPED VACUUM INTERFACE AND ION OPTICS; SEPARATED ON THE BASIS OF THEIR MASS-TO-CHARGE (m/z) RATIO; AND DETECTED BY AN ELECTRON CHANNEL MULTIPLIER (ECM). THE LEAD IS MEASURED AT ISOTOPE MASS 208 AMU (ATOMIC MASS UNITS) AND COMPARED WITH STANDARD SOLUTIONS. REFERENCE:NATIONAL LABORATORY OF ENVIRONMENTAL TESTING,NWRI.           METHOD 02-2060, BURLINGTON,ONT.,1996."
915,3,LI-DISS,LITHIUM-DISS-DIRECT,UG/L,"METALS, DISSOLVED, INDUCTIVELY COUPLED PLASMA - MASS SPECTROMETRY - (ICP-MS): A WATER SAMPLE IS FILTERED THROUGH A 0.45 MICROMETER MEMBRANE FILTER AND PRESERVED IN 0.2 PERCENT NITRIC ACID. THE FILTERED SAMPLE IS INTRODUCED DIRECTLY INTO A RADIOFREQUENCY ARGON PLASMA BY PNEUMATIC NEBULIZATION. THE IONS PRODUCED ARE TRANSPORTED TO THE MASS SPECTROMETER QUADRUPOLE THROUGH A DIFFERENTIALLY PUMPED VACUUM INTERFACE AND ION OPTICS, SEPARATED ON THE BASIS OF THEIR MASS-TO- CHARGE (m/z) RATIO; AND DETECTED BY AN ELECTRON CHANNEL MULTIPLIER (ECM). THE LITHIUM IS MEASURED AT ISOTOPE MASS 7 AMU (ATOMIC MASS UNITS) AND COMPARED WITH STANDARD SOLUTIONS. REFERENCE:NATIONAL LABORATORY OF ENVIRONMENTAL TESTING,NWRI,           METHOD 02-2060, BURLINGTON,ONT.,1996."
